180323 blackblob to Tao Leaf v02 100* 05:14:33 Parameters 0.823224,0.755175,0.991856,0.142143,0.539927,0.002768,0.918037,0.959531,0.894783,0.893379,0.470655,0.05172,0.135021,0.891511,0.616204,0.038342,0.814396,0.543543,0.679213,0.298196,0.689238,0.504305,0.700631,0.971969,0.745114,0.058088,0.756431,0.369995,0.777841,0.447148,0.383252,0.109076,0.91931,0.301976,0.001319,0.674378,0.583531,0.867892,0.536734 Objective 2.22477634339453E-29
180323 blackblob to Tao Leaf v02 100* 05:14:36 Parameters 0.065548,0.517119,0.54128,0.265656,0.350867,0.440176,0.977438,0.475742,0.744157,0.620335,0.366915,0.894405,0.585904,0.969032,0.901139,0.227991,0.792409,0.627404,0.488548,0.602855,0.22515,0.688738,0.336244,0.890137,0.762073,0.875863,0.996514,0.694601,0.836074,0.809318,0.67669,0.602504,0.311143,0.742722,0.071673,0.237788,0.798191,0.572389,0.685643 Objective 2.2031234475639E-11
180323 blackblob to Tao Leaf v02 100* 05:14:38 Parameters 0.859768,0.092516,0.656613,0.958803,0.117999,0.419185,0.582184,0.880835,0.281959,0.911995,0.796617,0.551181,0.794919,0.212831,0.716413,0.32875,0.414564,0.076326,0.792571,0.825502,0.049481,0.928609,0.887858,0.513202,0.21407,0.768264,0.518211,0.776861,0.720378,0.681585,0.34005,0.125975,0.768926,0.539261,0.39821,0.088676,0.212585,0.636598,0.841073 Objective 1.77207441829441E-23
180323 blackblob to Tao Leaf v02 100* 05:14:41 Parameters 0.956834,0.720371,0.172109,0.387288,0.792398,0.383022,0.171002,0.453551,0.40084,0.269755,0.590897,0.648034,0.111782,0.411288,0.10276,0.28348,0.637618,0.429067,0.045818,0.068881,0.262242,0.429685,0.351632,0.16527,0.364637,0.461134,0.148367,0.301216,0.067573,0.61256,0.658573,0.493347,0.96403,0.809689,0.51595,0.897534,0.701101,0.291187,0.89778 Objective 4.67330841269149E-20
180323 blackblob to Tao Leaf v02 100* 05:14:43 Parameters 0.689197,0.835239,0.823493,0.824909,0.87177,0.160172,0.218678,0.444173,0.696669,0.244305,0.240832,0.577865,0.252679,0.72634,0.830288,0.166195,0.061516,0.889996,0.962799,0.496073,0.643186,0.877632,0.302926,0.825027,0.533871,0.334218,0.422379,0.928877,0.725173,0.496234,0.414129,0.626277,0.336159,0.422937,0.68798,0.3434,0.774783,0.107426,0.231757 Objective 7.87915092550088E-23
180323 blackblob to Tao Leaf v02 100* 05:14:46 Parameters 0.777704,0.859826,0.623535,0.468908,0.22029,0.893516,0.175773,0.329954,0.322642,0.54568,0.942648,0.954246,0.56676,0.91855,0.599083,0.783984,0.539116,0.004599,0.305447,0.783674,0.145323,0.70113,0.019164,0.596643,0.640952,0.648171,0.056025,0.578847,0.412024,0.975976,0.48354,0.564106,0.157033,0.048642,0.586615,0.445204,0.910331,0.922873,0.576011 Objective 9.85782736863782E-20
180323 blackblob to Tao Leaf v02 100* 05:14:48 Parameters 0.039185,0.571401,0.451356,0.422866,0.591735,0.710675,0.537823,0.363153,0.168158,0.166099,0.713383,0.312658,0.444776,0.716168,0.466876,0.584487,0.910852,0.868778,0.233818,0.564427,0.951607,0.019426,0.040064,0.866804,0.676053,0.90741,0.797144,0.63839,0.623098,0.376088,0.927311,0.993634,0.450845,0.098813,0.945413,0.374108,0.997157,0.838417,0.955819 Objective 4.77627252723259E-21
180323 blackblob to Tao Leaf v02 100* 05:14:51 Parameters 0.904967,0.004873,0.271261,0.733017,0.500424,0.515968,0.811795,0.573348,0.226063,0.347384,0.129857,0.157563,0.161211,0.864449,0.246498,0.321543,0.553572,0.695645,0.580795,0.081004,0.548647,0.176031,0.171384,0.736155,0.125333,0.287786,0.389453,0.238625,0.554875,0.286183,0.270894,0.180017,0.203545,0.604986,0.087348,0.630314,0.745034,0.811019,0.510193 Objective 7.1156069995611E-15
180323 blackblob to Tao Leaf v02 100* 05:14:53 Parameters 0.489192,0.427142,0.709177,0.682982,0.322043,0.59505,0.017722,0.004693,0.202582,0.321534,0.62926,0.421536,0.707493,0.50643,0.644464,0.436712,0.439422,0.667184,0.617726,0.80864,0.941459,0.964278,0.81816,0.359342,0.55961,0.106185,0.204049,0.661724,0.394195,0.050498,0.083864,0.703729,0.089097,0.291576,0.474582,0.180369,0.60231,0.61101,0.176 Objective 2.53170455154614E-18
180323 blackblob to Tao Leaf v02 100* 05:14:56 Parameters 0.975983,0.647562,0.775026,0.076434,0.887789,0.857609,0.972028,0.033792,0.903115,0.569609,0.448759,0.341079,0.24485,0.033814,0.317388,0.561,0.334631,0.226797,0.997258,0.156535,0.357454,0.108457,0.79719,0.237839,0.302616,0.03721,0.497103,0.874736,0.677167,0.469286,0.309203,0.82747,0.477454,0.825758,0.700953,0.847532,0.450597,0.380203,0.749421 Objective 7.32524846133482E-18
